epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2987.12,2.84271,4.51195,2.91904,0.32355,0.03458,0.02115,0.01035,2.04219,3.43711,2.23755,0.0700081,0.00333243,0.00333243
2,6223.92,1.81448,3.23276,1.97489,0.23521,0.13801,0.09052,0.05217,1.70185,2.64306,1.86744,0.0399861,0.00664377,0.00664377
3,9517.81,1.67298,2.80769,1.8227,0.29981,0.20097,0.15521,0.09429,1.55844,2.30312,1.72402,0.00994212,0.0099331,0.0099331
4,12915.4,1.58747,2.55432,1.72832,0.35,0.24941,0.21761,0.13888,1.45406,2.05125,1.62583,0.009901,0.009901,0.009901
5,16525.2,1.51402,2.36336,1.65472,0.39692,0.27241,0.25728,0.16697,1.39581,1.91589,1.56734,0.009868,0.009868,0.009868
6,19926.8,1.47221,2.24471,1.61514,0.4259,0.29455,0.28289,0.18645,1.35919,1.8303,1.53276,0.009835,0.009835,0.009835
7,23434.9,1.44167,2.16209,1.58461,0.44166,0.3067,0.2989,0.19877,1.33629,1.77465,1.50997,0.009802,0.009802,0.009802
8,26935.5,1.41891,2.10315,1.56221,0.45423,0.31521,0.30922,0.20733,1.32285,1.73883,1.4966,0.009769,0.009769,0.009769
9,30434.4,1.40362,2.05698,1.54495,0.46317,0.31798,0.31678,0.21319,1.31223,1.71783,1.48585,0.009736,0.009736,0.009736
10,33932.7,1.38819,2.02103,1.53184,0.47187,0.32095,0.32208,0.21732,1.30338,1.70034,1.47689,0.009703,0.009703,0.009703
11,37436.6,1.37727,1.9901,1.51917,0.47806,0.32409,0.32684,0.22117,1.29558,1.68572,1.46882,0.00967,0.00967,0.00967
12,40946.9,1.36848,1.96213,1.50852,0.48083,0.32745,0.33176,0.2248,1.2886,1.67323,1.46105,0.009637,0.009637,0.009637
13,44454.3,1.3606,1.94323,1.50098,0.47804,0.33439,0.33672,0.22872,1.28186,1.66085,1.45332,0.009604,0.009604,0.009604
14,47875.7,1.3529,1.92174,1.49209,0.48517,0.33698,0.3417,0.23219,1.27673,1.65083,1.44688,0.009571,0.009571,0.009571
15,49688.6,1.34586,1.9034,1.4847,0.49447,0.33685,0.34647,0.23581,1.27136,1.64004,1.44039,0.009538,0.009538,0.009538
16,51454.5,1.34237,1.89346,1.47992,0.50336,0.33933,0.35118,0.23925,1.2667,1.62951,1.43392,0.009505,0.009505,0.009505
17,53217.5,1.33628,1.87973,1.47319,0.49844,0.34471,0.35635,0.2433,1.26122,1.61572,1.42669,0.009472,0.009472,0.009472
18,54985.1,1.33067,1.86973,1.4694,0.50437,0.34886,0.36115,0.24695,1.25653,1.60321,1.4207,0.009439,0.009439,0.009439
19,56749,1.32676,1.85516,1.46292,0.51135,0.35018,0.36646,0.25057,1.2508,1.58923,1.41403,0.009406,0.009406,0.009406
20,58902.4,1.32404,1.84307,1.45797,0.51421,0.35452,0.37102,0.25474,1.24578,1.5764,1.40736,0.009373,0.009373,0.009373
21,61270.7,1.32136,1.83714,1.45452,0.51694,0.36016,0.37614,0.25865,1.24123,1.56413,1.4013,0.00934,0.00934,0.00934
22,63038.9,1.31681,1.82605,1.45092,0.52332,0.36334,0.38106,0.26223,1.23719,1.55171,1.3957,0.009307,0.009307,0.009307
23,64805.5,1.31303,1.81924,1.44661,0.53625,0.36708,0.38496,0.26582,1.23204,1.53921,1.38955,0.009274,0.009274,0.009274
24,66569.3,1.31049,1.80896,1.44264,0.54508,0.37147,0.39055,0.26968,1.22754,1.52716,1.3835,0.009241,0.009241,0.009241
25,68333.7,1.31041,1.80448,1.44019,0.53437,0.37807,0.39492,0.27344,1.22329,1.51558,1.37773,0.009208,0.009208,0.009208
26,70094.8,1.30702,1.79953,1.43831,0.53425,0.3814,0.39839,0.27623,1.21905,1.50493,1.37226,0.009175,0.009175,0.009175
27,71858.1,1.30331,1.78895,1.43483,0.53747,0.38386,0.40192,0.27911,1.21542,1.49447,1.36764,0.009142,0.009142,0.009142
28,73625.8,1.30121,1.78315,1.43217,0.5468,0.38508,0.40618,0.28225,1.21212,1.48513,1.36352,0.009109,0.009109,0.009109
29,75393.8,1.30114,1.77881,1.42914,0.54725,0.38856,0.41096,0.28587,1.20841,1.47487,1.35885,0.009076,0.009076,0.009076
