epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.116,3.30901,4.74841,3.85156,0.00132,0.07378,0.00117,0.00026,3.02913,4.10482,3.4308,0.0700579,0.0033269,0.0033269
2,296.43,2.63955,4.27252,3.02189,0.44938,0.0177,0.01501,0.00444,2.3884,3.6325,2.89223,0.0400359,0.00663825,0.00663825
3,438.899,2.15371,3.62003,2.50745,0.15859,0.11343,0.02802,0.00924,2.34817,3.72023,2.67787,0.00999196,0.00992761,0.00992761
4,580.237,1.98217,3.28789,2.29527,0.18156,0.15314,0.08142,0.03296,2.04967,3.07322,2.45981,0.009901,0.009901,0.009901
5,720.755,1.87291,3.07489,2.17198,0.22028,0.21466,0.13805,0.05818,1.95693,2.85028,2.32476,0.009868,0.009868,0.009868
6,862.339,1.80616,2.92833,2.08932,0.25701,0.24429,0.1609,0.0711,1.89718,2.65564,2.19747,0.009835,0.009835,0.009835
7,1003.54,1.75689,2.81336,2.02205,0.30316,0.24578,0.17563,0.08025,1.87892,2.60943,2.18886,0.009802,0.009802,0.009802
8,1144.33,1.72113,2.7293,1.98635,0.28352,0.28878,0.21952,0.10285,1.77563,2.44959,2.0929,0.009769,0.009769,0.009769
9,1285.3,1.69292,2.65083,1.95037,0.30439,0.30692,0.24235,0.11639,1.76773,2.35692,2.05335,0.009736,0.009736,0.009736
10,1425.53,1.65952,2.60501,1.91969,0.32177,0.30588,0.24967,0.11956,1.74166,2.30227,2.02789,0.009703,0.009703,0.009703
11,1566.69,1.63429,2.54232,1.88934,0.34022,0.34571,0.28289,0.13831,1.70026,2.21804,1.9791,0.00967,0.00967,0.00967
12,1707.5,1.60272,2.4781,1.85976,0.36453,0.34778,0.29695,0.14798,1.68347,2.20679,1.94762,0.009637,0.009637,0.009637
13,1847.56,1.57839,2.42791,1.83639,0.38788,0.36533,0.31586,0.1627,1.64454,2.11751,1.9318,0.009604,0.009604,0.009604
14,1987.71,1.55994,2.40149,1.82407,0.39381,0.37096,0.33734,0.17575,1.63135,2.092,1.93608,0.009571,0.009571,0.009571
15,2127.54,1.53558,2.3418,1.79876,0.42216,0.36927,0.34495,0.18286,1.59821,2.07409,1.87155,0.009538,0.009538,0.009538
16,2267.64,1.5217,2.32198,1.78013,0.43221,0.39241,0.37359,0.20029,1.57581,1.97764,1.85138,0.009505,0.009505,0.009505
17,2407.6,1.50313,2.28165,1.76812,0.44931,0.40605,0.39086,0.21349,1.55302,1.92171,1.83408,0.009472,0.009472,0.009472
18,2548.23,1.49194,2.25847,1.75768,0.43543,0.41296,0.38969,0.21467,1.54106,1.90352,1.80337,0.009439,0.009439,0.009439
19,2688.34,1.47437,2.22387,1.74403,0.45616,0.42625,0.40301,0.22365,1.51761,1.87389,1.78748,0.009406,0.009406,0.009406
20,2828.84,1.46124,2.19844,1.73349,0.49011,0.41266,0.41955,0.23375,1.50202,1.86072,1.78669,0.009373,0.009373,0.009373
21,2968.22,1.46052,2.17264,1.72808,0.50774,0.43062,0.44163,0.2476,1.48845,1.79971,1.75718,0.00934,0.00934,0.00934
22,3108.2,1.43962,2.14524,1.70776,0.52554,0.43599,0.45805,0.26039,1.45676,1.76663,1.73416,0.009307,0.009307,0.009307
23,3248.53,1.43246,2.13022,1.70199,0.51428,0.44666,0.46572,0.26596,1.45478,1.74347,1.72209,0.009274,0.009274,0.009274
24,3388.89,1.41757,2.09133,1.69332,0.52288,0.47139,0.47994,0.2789,1.43132,1.70384,1.70919,0.009241,0.009241,0.009241
25,3529.07,1.40691,2.07625,1.68515,0.54516,0.46112,0.48867,0.28448,1.42643,1.69172,1.68871,0.009208,0.009208,0.009208
26,3669.6,1.39935,2.05704,1.67486,0.55408,0.47596,0.49939,0.29315,1.41357,1.662,1.68549,0.009175,0.009175,0.009175
27,3810.47,1.39407,2.03089,1.67048,0.53774,0.48879,0.50956,0.30194,1.39783,1.63499,1.6705,0.009142,0.009142,0.009142
28,3950.49,1.38701,2.02111,1.66331,0.56416,0.48574,0.5158,0.30854,1.39028,1.61666,1.66446,0.009109,0.009109,0.009109
