epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.641,3.26768,4.74159,3.86994,0.00224,0.10931,0.00212,0.00055,2.9265,3.99297,3.44348,0.0700579,0.0033269,0.0033269
2,1069.36,2.29534,3.917,2.80269,0.11344,0.07975,0.04854,0.01921,2.03976,3.21346,2.65449,0.0400359,0.00663825,0.00663825
3,1655.23,1.83596,3.25772,2.32572,0.14268,0.15912,0.07833,0.0364,1.87218,3.18513,2.44799,0.00999196,0.00992761,0.00992761
4,2222.29,1.68471,2.93553,2.13012,0.20659,0.21586,0.13646,0.06727,1.7203,2.75187,2.19641,0.009901,0.009901,0.009901
5,2804,1.57519,2.68714,2.01339,0.31681,0.29137,0.23228,0.12671,1.57424,2.35918,2.06579,0.009868,0.009868,0.009868
6,3393.59,1.50285,2.52801,1.93875,0.33253,0.33277,0.27151,0.15056,1.51477,2.26762,2.00031,0.009835,0.009835,0.009835
7,3961.76,1.45683,2.4009,1.88307,0.36434,0.35903,0.30785,0.17852,1.47926,2.14476,1.96169,0.009802,0.009802,0.009802
8,4556.53,1.42125,2.31719,1.84825,0.41615,0.39224,0.35867,0.21068,1.42014,2.0443,1.88219,0.009769,0.009769,0.009769
9,5116.17,1.39424,2.22481,1.81831,0.42666,0.41748,0.38118,0.22455,1.40481,1.94542,1.86385,0.009736,0.009736,0.009736
10,5710.05,1.3707,2.17722,1.79275,0.44416,0.42041,0.40242,0.24391,1.3879,1.88716,1.83479,0.009703,0.009703,0.009703
11,6274.79,1.35236,2.11602,1.77205,0.47079,0.42986,0.41908,0.2527,1.37064,1.8547,1.82355,0.00967,0.00967,0.00967
12,6854.62,1.32661,2.06376,1.74745,0.49084,0.47153,0.46106,0.28453,1.31508,1.72253,1.77841,0.009637,0.009637,0.009637
13,7394.87,1.30778,2.01173,1.7313,0.53518,0.47682,0.48276,0.30214,1.30829,1.69895,1.75592,0.009604,0.009604,0.009604
14,7810.23,1.29906,1.98681,1.72307,0.54874,0.48071,0.50103,0.3167,1.26698,1.66191,1.71852,0.009571,0.009571,0.009571
15,8212.18,1.27968,1.93133,1.69719,0.57141,0.47943,0.52096,0.33129,1.26262,1.63572,1.7043,0.009538,0.009538,0.009538
16,8622.34,1.26886,1.89993,1.68461,0.57628,0.50902,0.53948,0.34799,1.25376,1.57558,1.68303,0.009505,0.009505,0.009505
17,9031.41,1.25148,1.86734,1.67247,0.56888,0.52847,0.54525,0.35154,1.23382,1.52946,1.67068,0.009472,0.009472,0.009472
18,9441.43,1.24575,1.84935,1.66486,0.60288,0.52658,0.57601,0.37502,1.21023,1.46101,1.64731,0.009439,0.009439,0.009439
19,9846.55,1.23221,1.82309,1.65043,0.5964,0.54559,0.57524,0.37786,1.19638,1.46918,1.63731,0.009406,0.009406,0.009406
20,10255.2,1.21884,1.79076,1.64026,0.60859,0.55461,0.58866,0.38999,1.17903,1.42666,1.6095,0.009373,0.009373,0.009373
21,10659.9,1.2194,1.77285,1.63583,0.63135,0.55391,0.60356,0.40075,1.17341,1.39263,1.61271,0.00934,0.00934,0.00934
22,11062.9,1.20858,1.75452,1.62543,0.63251,0.56963,0.61428,0.40906,1.16291,1.37642,1.5932,0.009307,0.009307,0.009307
23,11470.5,1.20106,1.731,1.61853,0.64416,0.56305,0.61893,0.41421,1.15267,1.35312,1.57841,0.009274,0.009274,0.009274
24,11884,1.18787,1.70816,1.60757,0.65732,0.58713,0.63539,0.42936,1.1303,1.31536,1.55994,0.009241,0.009241,0.009241
25,12290.4,1.17952,1.69224,1.59981,0.6599,0.58874,0.64036,0.43576,1.12827,1.30172,1.55374,0.009208,0.009208,0.009208
26,12693.7,1.17463,1.67141,1.59076,0.66744,0.59213,0.65158,0.44369,1.11814,1.28267,1.54109,0.009175,0.009175,0.009175
27,13098.3,1.16923,1.65523,1.58427,0.67026,0.58878,0.65506,0.45105,1.10846,1.25698,1.52912,0.009142,0.009142,0.009142
28,13503.6,1.16432,1.64991,1.58132,0.68063,0.5895,0.66176,0.45627,1.10292,1.24278,1.52756,0.009109,0.009109,0.009109
29,13912.4,1.16611,1.63302,1.57665,0.68947,0.6006,0.66575,0.45917,1.09966,1.22751,1.51961,0.009076,0.009076,0.009076
30,14321.1,1.15299,1.62186,1.57007,0.68601,0.61346,0.67521,0.46562,1.09362,1.21042,1.51482,0.009043,0.009043,0.009043
31,14688.7,1.15222,1.60867,1.56261,0.69504,0.61381,0.68278,0.47486,1.08281,1.19871,1.50343,0.00901,0.00901,0.00901
32,14942.9,1.14069,1.59084,1.55928,0.70454,0.61913,0.69014,0.48245,1.07043,1.18177,1.49633,0.008977,0.008977,0.008977
33,15198.2,1.13363,1.58181,1.54645,0.69369,0.63747,0.69354,0.48482,1.06816,1.17543,1.48761,0.008944,0.008944,0.008944
34,15451.2,1.13165,1.56869,1.54473,0.71098,0.63191,0.7032,0.4923,1.06077,1.15437,1.48433,0.008911,0.008911,0.008911
35,15704.8,1.1289,1.55043,1.5424,0.7055,0.64211,0.70532,0.49515,1.05611,1.14972,1.47651,0.008878,0.008878,0.008878
36,15959.8,1.12071,1.54184,1.53063,0.71146,0.63491,0.70619,0.49533,1.05576,1.14254,1.47547,0.008845,0.008845,0.008845
37,16214.3,1.11338,1.52268,1.52543,0.72448,0.63139,0.71169,0.5008,1.047,1.12537,1.46473,0.008812,0.008812,0.008812
38,16467.5,1.11267,1.5157,1.52702,0.73407,0.63372,0.71494,0.50388,1.04263,1.11935,1.45953,0.008779,0.008779,0.008779
39,16720,1.10785,1.51818,1.52675,0.72087,0.64316,0.71822,0.50701,1.04007,1.11146,1.4576,0.008746,0.008746,0.008746
40,16973.9,1.10577,1.50536,1.51588,0.72855,0.65443,0.71988,0.50991,1.03842,1.10491,1.45401,0.008713,0.008713,0.008713
41,17228.5,1.09354,1.48834,1.50786,0.73187,0.64579,0.72443,0.51413,1.03514,1.0957,1.45056,0.00868,0.00868,0.00868
42,17484,1.09969,1.48627,1.5107,0.73798,0.64874,0.72682,0.51601,1.03323,1.09273,1.44501,0.008647,0.008647,0.008647
43,17737.7,1.09706,1.47909,1.50587,0.74128,0.6543,0.731,0.5208,1.02839,1.08415,1.44013,0.008614,0.008614,0.008614
44,17991.8,1.09357,1.4741,1.50211,0.7301,0.6575,0.73103,0.52286,1.02198,1.07961,1.435,0.008581,0.008581,0.008581
45,18247.1,1.08202,1.46003,1.49359,0.7395,0.65285,0.73355,0.52441,1.01979,1.07136,1.43266,0.008548,0.008548,0.008548
46,18502.2,1.08367,1.45553,1.49531,0.73055,0.6606,0.73525,0.52633,1.01663,1.06947,1.42988,0.008515,0.008515,0.008515
47,18756.4,1.08162,1.44164,1.49203,0.72611,0.66767,0.73839,0.52967,1.01426,1.05862,1.42793,0.008482,0.008482,0.008482
48,19009.4,1.07793,1.43557,1.48738,0.74151,0.6591,0.74019,0.53187,1.01126,1.05446,1.42489,0.008449,0.008449,0.008449
49,19262.1,1.07183,1.42402,1.48045,0.74038,0.66866,0.74274,0.53471,1.00852,1.04813,1.42072,0.008416,0.008416,0.008416
50,19516.3,1.06475,1.43107,1.47379,0.73642,0.66832,0.74274,0.53569,1.00583,1.04498,1.41732,0.008383,0.008383,0.008383
51,19769.7,1.06672,1.41531,1.47845,0.74329,0.6654,0.7448,0.53736,1.00378,1.04146,1.41471,0.00835,0.00835,0.00835
52,20023.1,1.06561,1.41645,1.47456,0.75035,0.66391,0.74598,0.53817,1.00095,1.03751,1.41235,0.008317,0.008317,0.008317
53,20275.9,1.06787,1.4071,1.47591,0.75599,0.6617,0.74802,0.54078,0.99941,1.03327,1.41062,0.008284,0.008284,0.008284
54,20528.5,1.05772,1.39877,1.46785,0.75767,0.65976,0.75006,0.54263,0.99691,1.028,1.40792,0.008251,0.008251,0.008251
55,20780.8,1.05062,1.39572,1.46413,0.77556,0.64795,0.75083,0.54409,0.99516,1.02424,1.40628,0.008218,0.008218,0.008218
56,21032.9,1.05447,1.38933,1.46519,0.76639,0.65622,0.75279,0.54519,0.99509,1.02223,1.40468,0.008185,0.008185,0.008185
57,21284.8,1.05231,1.3798,1.46118,0.76491,0.65863,0.75279,0.54568,0.99373,1.01921,1.40304,0.008152,0.008152,0.008152
58,21537,1.05517,1.37275,1.46163,0.76226,0.66343,0.75466,0.54697,0.99217,1.01646,1.40108,0.008119,0.008119,0.008119
59,21788.1,1.04335,1.361,1.45233,0.76168,0.66682,0.75577,0.54828,0.98996,1.01406,1.39853,0.008086,0.008086,0.008086
60,22038.8,1.05064,1.36437,1.45279,0.76117,0.669,0.75682,0.55008,0.98875,1.0111,1.39719,0.008053,0.008053,0.008053
61,22290.3,1.04119,1.34938,1.4438,0.76378,0.66965,0.75746,0.55033,0.98812,1.00729,1.39578,0.00802,0.00802,0.00802
62,22542.1,1.03865,1.3515,1.44844,0.76196,0.67293,0.75849,0.55086,0.98703,1.00413,1.39409,0.007987,0.007987,0.007987
63,22794,1.03656,1.34459,1.4448,0.76573,0.6745,0.75959,0.55198,0.98574,1.00098,1.39262,0.007954,0.007954,0.007954
64,23044.7,1.03622,1.34418,1.44117,0.76383,0.67519,0.75989,0.55234,0.98393,0.99887,1.39053,0.007921,0.007921,0.007921
65,23296.2,1.02797,1.33964,1.43808,0.75979,0.6767,0.76093,0.55377,0.98262,0.99636,1.38886,0.007888,0.007888,0.007888
66,23547.3,1.03158,1.32677,1.43848,0.75798,0.67754,0.76196,0.55441,0.98116,0.99452,1.38706,0.007855,0.007855,0.007855
67,23797.8,1.03082,1.32339,1.44072,0.76093,0.67624,0.7629,0.55592,0.98047,0.99263,1.38623,0.007822,0.007822,0.007822
68,24048.7,1.02558,1.31411,1.43251,0.75916,0.68128,0.76352,0.5568,0.97939,0.99011,1.38525,0.007789,0.007789,0.007789
69,24299.3,1.02165,1.30449,1.42618,0.7603,0.67975,0.76414,0.5577,0.97854,0.98803,1.38431,0.007756,0.007756,0.007756
70,24551.8,1.0267,1.31205,1.43132,0.76141,0.68091,0.76495,0.55773,0.97771,0.9864,1.38318,0.007723,0.007723,0.007723
71,24802.5,1.02178,1.30945,1.42903,0.76515,0.67865,0.76609,0.55905,0.97693,0.98497,1.38237,0.00769,0.00769,0.00769
72,25053.8,1.02322,1.29998,1.4263,0.76778,0.6764,0.76675,0.55982,0.97631,0.98331,1.38127,0.007657,0.007657,0.007657
73,25304.3,1.01539,1.3004,1.42045,0.77286,0.67449,0.76716,0.56051,0.9756,0.98147,1.38035,0.007624,0.007624,0.007624
74,25553.9,1.01662,1.28741,1.42018,0.76822,0.67813,0.76812,0.56144,0.97482,0.97993,1.3796,0.007591,0.007591,0.007591
75,25804.6,1.01281,1.2936,1.41682,0.7717,0.67711,0.76857,0.56196,0.97399,0.97839,1.37849,0.007558,0.007558,0.007558
76,26055,1.00463,1.2808,1.41165,0.77191,0.67925,0.76931,0.56286,0.97303,0.9766,1.37724,0.007525,0.007525,0.007525
