epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.25,3.31946,4.78658,3.94626,0.00163,0.05592,0.00127,0.00029,3.03491,4.04953,3.44937,0.0700579,0.0033269,0.0033269
2,1090.25,2.42554,4.12134,2.89882,0.19996,0.05054,0.02072,0.00748,2.13528,3.38379,2.68796,0.0400359,0.00663825,0.00663825
3,1647.1,1.90712,3.45661,2.35678,0.26254,0.12054,0.0501,0.02065,1.93131,3.37905,2.47353,0.00999196,0.00992761,0.00992761
4,2159.31,1.72893,3.07624,2.11884,0.31564,0.17404,0.11835,0.06043,1.72028,2.81826,2.15507,0.009901,0.009901,0.009901
5,2720.98,1.6102,2.78709,1.98187,0.24284,0.22445,0.14842,0.07927,1.6451,2.71105,2.06477,0.009868,0.009868,0.009868
6,3289.25,1.53227,2.60661,1.89782,0.30776,0.30237,0.22951,0.12521,1.59831,2.36239,1.9695,0.009835,0.009835,0.009835
7,3806.24,1.48417,2.46785,1.83759,0.31948,0.33452,0.25142,0.14062,1.54535,2.30884,1.94005,0.009802,0.009802,0.009802
8,4364.72,1.44222,2.36818,1.7995,0.36686,0.35103,0.28895,0.16391,1.49238,2.16064,1.86409,0.009769,0.009769,0.009769
9,4934.99,1.41468,2.2802,1.76902,0.41971,0.37789,0.35141,0.20848,1.44461,1.98774,1.81888,0.009736,0.009736,0.009736
10,5451.19,1.38852,2.22571,1.74368,0.44943,0.37478,0.36954,0.21511,1.43123,2.00146,1.81139,0.009703,0.009703,0.009703
11,5998.48,1.37021,2.16204,1.72319,0.46351,0.41093,0.40798,0.2462,1.37425,1.83424,1.73728,0.00967,0.00967,0.00967
12,6574.66,1.34141,2.10722,1.69611,0.47744,0.44856,0.4344,0.26341,1.33604,1.73849,1.6923,0.009637,0.009637,0.009637
13,7087.57,1.32046,2.05559,1.67734,0.499,0.44409,0.44986,0.27549,1.32717,1.73605,1.68304,0.009604,0.009604,0.009604
14,7630.18,1.30777,2.0225,1.66911,0.51796,0.47488,0.47746,0.30051,1.291,1.69487,1.65789,0.009571,0.009571,0.009571
15,8215.67,1.2895,1.96522,1.6423,0.54378,0.45923,0.48715,0.30579,1.29426,1.65169,1.64022,0.009538,0.009538,0.009538
16,8724.16,1.27877,1.9339,1.62829,0.56233,0.47803,0.5115,0.3258,1.26404,1.60184,1.61248,0.009505,0.009505,0.009505
17,9257.97,1.25943,1.90143,1.61557,0.55898,0.51267,0.52857,0.33803,1.25604,1.52502,1.60195,0.009472,0.009472,0.009472
18,9833.49,1.25533,1.88417,1.61239,0.60508,0.50558,0.55321,0.3581,1.23324,1.49854,1.58554,0.009439,0.009439,0.009439
19,10334.6,1.24359,1.84833,1.59753,0.61028,0.52365,0.56525,0.36906,1.21045,1.46098,1.565,0.009406,0.009406,0.009406
20,10855.1,1.22894,1.81198,1.58448,0.6378,0.52436,0.57801,0.37988,1.19919,1.44225,1.54817,0.009373,0.009373,0.009373
21,11424.9,1.22807,1.7972,1.58102,0.64852,0.52763,0.59301,0.39129,1.18819,1.40583,1.5395,0.00934,0.00934,0.00934
22,11924.2,1.216,1.7768,1.56895,0.62482,0.55603,0.60264,0.397,1.18656,1.36495,1.53092,0.009307,0.009307,0.009307
23,12447,1.2114,1.75202,1.56254,0.64147,0.55594,0.6104,0.40725,1.16978,1.34745,1.50947,0.009274,0.009274,0.009274
24,13027.8,1.19553,1.73009,1.55095,0.65916,0.55661,0.62301,0.41519,1.14739,1.32369,1.49267,0.009241,0.009241,0.009241
25,13528.6,1.18898,1.71708,1.5487,0.665,0.55247,0.62322,0.42199,1.1436,1.30406,1.48896,0.009208,0.009208,0.009208
26,14050.8,1.18437,1.70097,1.53951,0.68034,0.57037,0.63783,0.43432,1.1336,1.28538,1.48073,0.009175,0.009175,0.009175
27,14627.5,1.17975,1.67613,1.53421,0.66906,0.58082,0.64189,0.43777,1.13025,1.26721,1.47513,0.009142,0.009142,0.009142
28,15128.7,1.17252,1.66962,1.52758,0.67602,0.58558,0.65095,0.44468,1.11893,1.25091,1.4654,0.009109,0.009109,0.009109
29,15651.2,1.17386,1.64387,1.52551,0.67063,0.59761,0.65754,0.44998,1.11127,1.23276,1.45674,0.009076,0.009076,0.009076
30,16228.1,1.16089,1.64035,1.51752,0.69119,0.58497,0.6671,0.45855,1.10492,1.21262,1.44925,0.009043,0.009043,0.009043
31,16733.3,1.16084,1.62917,1.51331,0.68666,0.598,0.67088,0.4655,1.09078,1.19838,1.43684,0.00901,0.00901,0.00901
32,17261.1,1.15181,1.61436,1.5082,0.69712,0.59829,0.67514,0.46737,1.08931,1.18779,1.43285,0.008977,0.008977,0.008977
33,17839.9,1.14533,1.59975,1.50058,0.68636,0.61076,0.67962,0.47441,1.07796,1.17915,1.42233,0.008944,0.008944,0.008944
34,18346.7,1.14176,1.58885,1.4963,0.691,0.62355,0.68607,0.4791,1.07866,1.16452,1.41924,0.008911,0.008911,0.008911
35,18878.6,1.14158,1.57348,1.49445,0.70332,0.61531,0.6929,0.48389,1.06952,1.15221,1.40989,0.008878,0.008878,0.008878
36,19454,1.13255,1.566,1.48593,0.70165,0.6256,0.69574,0.48657,1.06123,1.14035,1.40386,0.008845,0.008845,0.008845
37,19961.1,1.12892,1.54347,1.48153,0.70192,0.61926,0.69737,0.48776,1.06113,1.13127,1.40026,0.008812,0.008812,0.008812
38,20490.3,1.12484,1.53252,1.47752,0.70338,0.63343,0.70144,0.49136,1.06012,1.11967,1.39529,0.008779,0.008779,0.008779
39,21066,1.12207,1.53222,1.47687,0.71056,0.6305,0.70372,0.49605,1.05356,1.11356,1.39245,0.008746,0.008746,0.008746
40,21577,1.11959,1.51897,1.46982,0.71588,0.63137,0.70649,0.49864,1.05132,1.1086,1.38773,0.008713,0.008713,0.008713
41,22105.5,1.10799,1.5043,1.46485,0.71614,0.63997,0.71232,0.50366,1.04845,1.09881,1.38695,0.00868,0.00868,0.00868
42,22691.7,1.11185,1.5059,1.46743,0.71294,0.64964,0.71655,0.50641,1.04289,1.09205,1.38227,0.008647,0.008647,0.008647
43,23206.3,1.11402,1.50203,1.46269,0.72262,0.64321,0.72063,0.51124,1.03672,1.08322,1.37452,0.008614,0.008614,0.008614
44,23732.6,1.10864,1.48331,1.45892,0.73505,0.63865,0.72191,0.51219,1.03634,1.07581,1.37276,0.008581,0.008581,0.008581
45,24317.7,1.09784,1.47576,1.45035,0.72442,0.64597,0.72282,0.5136,1.03522,1.071,1.37132,0.008548,0.008548,0.008548
46,24823.6,1.09942,1.48036,1.45329,0.71955,0.64705,0.72403,0.51568,1.0299,1.06623,1.36782,0.008515,0.008515,0.008515
47,25341.2,1.098,1.4542,1.45216,0.71767,0.64982,0.72389,0.51646,1.02755,1.0639,1.36487,0.008482,0.008482,0.008482
48,25926.5,1.09119,1.45142,1.44188,0.7134,0.66058,0.72633,0.51965,1.0263,1.05782,1.36222,0.008449,0.008449,0.008449
49,26430.4,1.09125,1.44256,1.44124,0.71194,0.66742,0.72933,0.52314,1.02394,1.05036,1.35869,0.008416,0.008416,0.008416
50,26943.3,1.0818,1.44715,1.4388,0.7247,0.66027,0.73016,0.52438,1.0204,1.04555,1.35627,0.008383,0.008383,0.008383
