epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.141,3.30786,4.8392,3.9929,0.00187,0.12293,0.00141,0.00036,3.01381,8.84782,3.72927,0.0700579,0.0033269,0.0033269
2,328.58,2.48495,4.13318,2.91385,0.21424,0.04983,0.02522,0.00865,2.18088,3.4158,2.68527,0.0400359,0.00663825,0.00663825
3,482.938,1.9109,3.37356,2.30312,0.27533,0.15084,0.07025,0.03108,1.92561,3.20443,2.36,0.00999196,0.00992761,0.00992761
4,637.553,1.73369,3.01006,2.07438,0.19385,0.22243,0.13732,0.06777,1.75328,2.72737,2.12403,0.009901,0.009901,0.009901
5,792.747,1.61753,2.74584,1.95303,0.30192,0.27003,0.21738,0.11435,1.64715,2.4068,2.01273,0.009868,0.009868,0.009868
6,947.551,1.54067,2.57916,1.8659,0.28967,0.29446,0.23539,0.13066,1.60233,2.39558,1.95134,0.009835,0.009835,0.009835
7,1101.03,1.48913,2.45678,1.81566,0.36136,0.33687,0.29071,0.16616,1.52148,2.17576,1.896,0.009802,0.009802,0.009802
8,1255.77,1.44738,2.3579,1.77711,0.4061,0.37903,0.32909,0.19015,1.45437,2.06694,1.78783,0.009769,0.009769,0.009769
9,1409.91,1.42152,2.26744,1.742,0.41465,0.38004,0.33978,0.19542,1.45975,2.01217,1.80005,0.009736,0.009736,0.009736
10,1564.11,1.39042,2.21508,1.71252,0.45906,0.39008,0.38262,0.22862,1.4058,1.92565,1.73624,0.009703,0.009703,0.009703
11,1718.37,1.3711,2.1477,1.68999,0.46832,0.44196,0.42523,0.25935,1.37529,1.79623,1.70647,0.00967,0.00967,0.00967
12,1872.03,1.34718,2.09953,1.666,0.4953,0.43325,0.43647,0.2647,1.35588,1.76,1.68058,0.009637,0.009637,0.009637
13,2026.89,1.32706,2.04869,1.65076,0.47033,0.45975,0.44976,0.27669,1.32665,1.73434,1.65607,0.009604,0.009604,0.009604
14,2154.91,1.31732,2.01457,1.64368,0.52801,0.46691,0.48267,0.3037,1.30069,1.67219,1.62976,0.009571,0.009571,0.009571
15,2242.13,1.29645,1.9593,1.62226,0.51448,0.4696,0.48278,0.30455,1.30143,1.69589,1.63517,0.009538,0.009538,0.009538
16,2341.83,1.28506,1.93634,1.6064,0.54418,0.49085,0.51024,0.32594,1.26137,1.58378,1.58317,0.009505,0.009505,0.009505
17,2467.83,1.26944,1.90097,1.59613,0.57258,0.48771,0.52149,0.33455,1.26512,1.54464,1.58815,0.009472,0.009472,0.009472
18,2610.31,1.26431,1.88327,1.59307,0.58183,0.48951,0.54081,0.35081,1.24431,1.52093,1.57089,0.009439,0.009439,0.009439
19,2761.51,1.25279,1.85034,1.578,0.5965,0.51833,0.55674,0.3634,1.22131,1.4658,1.54242,0.009406,0.009406,0.009406
20,2914.26,1.24161,1.82224,1.56845,0.59336,0.51922,0.55447,0.36397,1.22197,1.47681,1.54133,0.009373,0.009373,0.009373
21,3064.28,1.24134,1.80729,1.56433,0.62369,0.53725,0.58294,0.38528,1.20398,1.4182,1.53032,0.00934,0.00934,0.00934
22,3214.7,1.2257,1.78092,1.55025,0.62737,0.54018,0.59667,0.3953,1.18811,1.37717,1.49931,0.009307,0.009307,0.009307
23,3366.67,1.22065,1.76725,1.54328,0.62954,0.55375,0.60326,0.40316,1.17899,1.35942,1.49802,0.009274,0.009274,0.009274
24,3518.31,1.20922,1.7482,1.53761,0.65219,0.55917,0.61527,0.41164,1.16152,1.33887,1.48089,0.009241,0.009241,0.009241
25,3671.68,1.2008,1.72963,1.53501,0.64755,0.55773,0.61726,0.41759,1.15823,1.32187,1.47903,0.009208,0.009208,0.009208
26,3815.25,1.19781,1.71024,1.52633,0.66095,0.56324,0.62721,0.42279,1.14799,1.30576,1.47149,0.009175,0.009175,0.009175
27,3964.59,1.19279,1.68532,1.51841,0.6658,0.57722,0.63717,0.43419,1.13786,1.2722,1.4554,0.009142,0.009142,0.009142
28,4116.21,1.18317,1.68396,1.51468,0.66876,0.57512,0.64337,0.44065,1.12945,1.26009,1.44895,0.009109,0.009109,0.009109
29,4266.73,1.19022,1.65992,1.51533,0.68446,0.58608,0.65324,0.44724,1.12448,1.24095,1.43898,0.009076,0.009076,0.009076
30,4416.99,1.178,1.65602,1.50961,0.66765,0.60239,0.66085,0.45579,1.11248,1.22448,1.43395,0.009043,0.009043,0.009043
31,4549.54,1.17292,1.63973,1.50056,0.69112,0.59718,0.66375,0.458,1.10246,1.21675,1.42511,0.00901,0.00901,0.00901
32,4663.16,1.16283,1.62356,1.49483,0.69282,0.60094,0.66951,0.46215,1.10321,1.20253,1.42463,0.008977,0.008977,0.008977
33,4799.19,1.15758,1.60705,1.48674,0.69303,0.60844,0.67566,0.46934,1.092,1.18799,1.41328,0.008944,0.008944,0.008944
34,4934.61,1.15542,1.6011,1.48385,0.70749,0.6086,0.68363,0.47382,1.08988,1.17743,1.40563,0.008911,0.008911,0.008911
