epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.791,3.26172,4.76095,3.8964,0.00243,0.09304,0.00231,0.00054,2.84359,3.94513,3.43123,0.0700579,0.0033269,0.0033269
2,737.805,2.29362,3.98852,2.80665,0.25002,0.06411,0.03584,0.01394,2.10526,3.41886,2.70137,0.0400359,0.00663825,0.00663825
3,1136.02,1.87203,3.34591,2.34948,0.14628,0.17525,0.08843,0.03992,1.89233,3.09312,2.42653,0.00999196,0.00992761,0.00992761
4,1546.06,1.72927,3.02812,2.15313,0.23682,0.20602,0.12755,0.06046,1.8161,2.8256,2.24652,0.009901,0.009901,0.009901
5,1957.78,1.62312,2.78049,2.03419,0.30428,0.25882,0.19862,0.10461,1.70213,2.48579,2.14172,0.009868,0.009868,0.009868
6,2369.99,1.5448,2.60839,1.95112,0.30819,0.3058,0.24086,0.13168,1.58226,2.33469,2.01692,0.009835,0.009835,0.009835
7,2779.15,1.48971,2.47468,1.89294,0.36867,0.36,0.29999,0.17137,1.51823,2.16738,1.97427,0.009802,0.009802,0.009802
8,3187.68,1.45986,2.39532,1.86418,0.37978,0.34732,0.30587,0.17608,1.51722,2.18527,1.95065,0.009769,0.009769,0.009769
9,3598.25,1.4342,2.30442,1.83454,0.42206,0.39462,0.36248,0.21352,1.43932,1.96975,1.86609,0.009736,0.009736,0.009736
10,4010.2,1.40389,2.24774,1.80763,0.44192,0.40203,0.38622,0.23228,1.39368,1.92822,1.83152,0.009703,0.009703,0.009703
11,4420.42,1.38554,2.18527,1.78505,0.44256,0.39675,0.38051,0.2241,1.42218,1.92768,1.85193,0.00967,0.00967,0.00967
12,4827.95,1.3616,2.12692,1.75768,0.47527,0.43767,0.41623,0.25193,1.35085,1.81241,1.76446,0.009637,0.009637,0.009637
13,5235.25,1.33857,2.07091,1.73768,0.51377,0.44059,0.45518,0.28075,1.32675,1.76307,1.7608,0.009604,0.009604,0.009604
14,5641.63,1.32835,2.03579,1.72978,0.52222,0.46924,0.47688,0.29677,1.30522,1.72442,1.73591,0.009571,0.009571,0.009571
15,6047.03,1.30367,1.98279,1.70344,0.52663,0.47944,0.49056,0.30771,1.29531,1.7009,1.72311,0.009538,0.009538,0.009538
16,6452.48,1.29488,1.95338,1.68977,0.54789,0.47774,0.4971,0.31362,1.28805,1.63575,1.69458,0.009505,0.009505,0.009505
17,6856.1,1.27202,1.91976,1.6758,0.57452,0.50267,0.52601,0.33668,1.25866,1.57509,1.68031,0.009472,0.009472,0.009472
18,7259.58,1.26733,1.89714,1.66902,0.54871,0.51419,0.54317,0.34868,1.23795,1.52549,1.6523,0.009439,0.009439,0.009439
19,7663.66,1.25467,1.86273,1.6531,0.5873,0.51089,0.55139,0.35526,1.23259,1.51266,1.64678,0.009406,0.009406,0.009406
20,8067.13,1.2395,1.82991,1.64004,0.59541,0.52066,0.5612,0.36935,1.20766,1.49167,1.61883,0.009373,0.009373,0.009373
21,8473.14,1.24109,1.81699,1.63943,0.61379,0.53135,0.57645,0.37505,1.20766,1.45762,1.62126,0.00934,0.00934,0.00934
22,8880.84,1.22721,1.79907,1.62773,0.62483,0.54801,0.59499,0.39295,1.1869,1.42992,1.60169,0.009307,0.009307,0.009307
23,9288.02,1.21997,1.77317,1.61914,0.61638,0.54609,0.59013,0.39293,1.17481,1.40653,1.58633,0.009274,0.009274,0.009274
24,9692.74,1.20418,1.74937,1.6046,0.6384,0.56336,0.61325,0.40722,1.15755,1.37034,1.56585,0.009241,0.009241,0.009241
25,10099,1.19705,1.72735,1.59885,0.63555,0.56691,0.6224,0.41699,1.15133,1.35174,1.55468,0.009208,0.009208,0.009208
26,10506.5,1.18985,1.71089,1.587,0.64133,0.57603,0.62995,0.42168,1.14555,1.32704,1.55052,0.009175,0.009175,0.009175
27,10912.5,1.18313,1.69532,1.58048,0.64727,0.57623,0.63251,0.42961,1.13178,1.30911,1.53407,0.009142,0.009142,0.009142
28,11321.7,1.1769,1.68127,1.57363,0.6589,0.59197,0.64711,0.4397,1.12541,1.2994,1.52305,0.009109,0.009109,0.009109
29,11731.6,1.17839,1.65969,1.57429,0.66445,0.58714,0.64835,0.44473,1.11384,1.27528,1.51628,0.009076,0.009076,0.009076
30,12141.5,1.1681,1.64847,1.56435,0.66171,0.59718,0.65735,0.45243,1.10813,1.25305,1.50831,0.009043,0.009043,0.009043
31,12551,1.16508,1.64148,1.55484,0.68203,0.60192,0.66788,0.46053,1.1,1.23433,1.49578,0.00901,0.00901,0.00901
32,12960.6,1.15386,1.61522,1.5478,0.66864,0.61534,0.67143,0.46533,1.09151,1.2196,1.49104,0.008977,0.008977,0.008977
33,13344.3,1.14649,1.60224,1.53991,0.69558,0.60578,0.67512,0.4696,1.08189,1.21167,1.48286,0.008944,0.008944,0.008944
34,13593.7,1.14683,1.59447,1.53858,0.70809,0.6078,0.68492,0.47666,1.07566,1.1985,1.47287,0.008911,0.008911,0.008911
35,13844.5,1.13849,1.57926,1.53232,0.69091,0.61843,0.68696,0.48052,1.07024,1.19151,1.47004,0.008878,0.008878,0.008878
36,14094.3,1.13062,1.56794,1.52166,0.71209,0.61374,0.69125,0.48477,1.06355,1.17342,1.45944,0.008845,0.008845,0.008845
37,14345.3,1.12722,1.54485,1.51879,0.70971,0.62328,0.69994,0.49232,1.05805,1.15923,1.45276,0.008812,0.008812,0.008812
38,14598.3,1.12218,1.53267,1.51385,0.70734,0.63591,0.70052,0.4933,1.05971,1.14913,1.45231,0.008779,0.008779,0.008779
39,14848.4,1.119,1.5348,1.51422,0.71578,0.63235,0.70495,0.49706,1.05695,1.14241,1.45058,0.008746,0.008746,0.008746
40,15098.4,1.11674,1.51963,1.50889,0.7205,0.63368,0.70921,0.50211,1.0507,1.13494,1.44572,0.008713,0.008713,0.008713
41,15349.4,1.10774,1.50791,1.50062,0.72261,0.63864,0.7107,0.50475,1.04511,1.12786,1.44294,0.00868,0.00868,0.00868
42,15600.4,1.10918,1.50628,1.50165,0.72284,0.64032,0.71338,0.50585,1.04115,1.1172,1.4373,0.008647,0.008647,0.008647
43,15850.7,1.10443,1.49825,1.4937,0.70627,0.64893,0.71731,0.51139,1.03302,1.10968,1.43004,0.008614,0.008614,0.008614
44,16100.7,1.10094,1.48909,1.49323,0.71693,0.64834,0.72057,0.51525,1.02902,1.10341,1.42512,0.008581,0.008581,0.008581
45,16352.4,1.09073,1.48034,1.48411,0.71817,0.65103,0.72272,0.51643,1.0264,1.09588,1.42345,0.008548,0.008548,0.008548
46,16602.3,1.09538,1.47684,1.48765,0.73279,0.63789,0.72464,0.51823,1.02463,1.09191,1.4212,0.008515,0.008515,0.008515
47,16852.5,1.09318,1.45734,1.48088,0.73064,0.64622,0.7281,0.52147,1.02202,1.08109,1.41724,0.008482,0.008482,0.008482
48,17103.1,1.08659,1.4514,1.47606,0.73621,0.64896,0.73187,0.52436,1.02029,1.07683,1.41389,0.008449,0.008449,0.008449
49,17352.3,1.08363,1.43621,1.4718,0.75213,0.64588,0.73529,0.52717,1.01627,1.07133,1.40927,0.008416,0.008416,0.008416
50,17602.6,1.07318,1.44472,1.46656,0.74262,0.65046,0.73748,0.52993,1.01382,1.06306,1.40624,0.008383,0.008383,0.008383
51,17853.8,1.07478,1.42946,1.46712,0.74356,0.65044,0.73799,0.53143,1.01094,1.05942,1.40328,0.00835,0.00835,0.00835
52,18103.9,1.07339,1.42608,1.46418,0.73692,0.65813,0.73923,0.53275,1.00777,1.05511,1.39926,0.008317,0.008317,0.008317
53,18353.4,1.07424,1.41965,1.46435,0.73851,0.659,0.74065,0.53429,1.00506,1.05161,1.39661,0.008284,0.008284,0.008284
54,18601.7,1.06515,1.4148,1.45777,0.74416,0.65747,0.74276,0.53626,1.00231,1.04652,1.39382,0.008251,0.008251,0.008251
55,18850.3,1.06222,1.40862,1.45721,0.73854,0.66587,0.74494,0.53879,0.99999,1.04259,1.39136,0.008218,0.008218,0.008218
56,19100.2,1.06127,1.39772,1.45305,0.7442,0.66263,0.74602,0.53994,0.9988,1.03908,1.38927,0.008185,0.008185,0.008185
57,19349.5,1.06102,1.3941,1.45274,0.75067,0.66094,0.74667,0.54074,0.99729,1.0366,1.38728,0.008152,0.008152,0.008152
58,19599.1,1.06149,1.38437,1.44872,0.75337,0.66027,0.74763,0.54208,0.99558,1.03384,1.38489,0.008119,0.008119,0.008119
59,19847.5,1.04873,1.37333,1.43998,0.7536,0.6652,0.74867,0.54312,0.99403,1.03102,1.38305,0.008086,0.008086,0.008086
60,20096.8,1.05794,1.37308,1.44185,0.75215,0.66515,0.75014,0.54496,0.99181,1.0282,1.38092,0.008053,0.008053,0.008053
61,20346.3,1.04857,1.36071,1.43494,0.74728,0.67017,0.75171,0.54596,0.99106,1.02529,1.37966,0.00802,0.00802,0.00802
62,20594.6,1.04716,1.36058,1.43829,0.74554,0.67482,0.75275,0.54703,0.9896,1.02236,1.37809,0.007987,0.007987,0.007987
63,20842.3,1.04247,1.35282,1.43385,0.74856,0.67339,0.75359,0.5485,0.98879,1.02012,1.37684,0.007954,0.007954,0.007954
64,21091.4,1.04358,1.34752,1.4342,0.75239,0.67061,0.755,0.54939,0.98771,1.01728,1.37531,0.007921,0.007921,0.007921
65,21340.4,1.03395,1.34747,1.42791,0.74812,0.674,0.75601,0.5504,0.98658,1.01428,1.37423,0.007888,0.007888,0.007888
66,21589.5,1.03964,1.33726,1.42799,0.75026,0.67464,0.75716,0.5515,0.98553,1.01178,1.37308,0.007855,0.007855,0.007855
67,21836.8,1.03715,1.33144,1.42796,0.74605,0.68035,0.75775,0.55276,0.98409,1.00889,1.37157,0.007822,0.007822,0.007822
68,22084.9,1.03149,1.32718,1.42109,0.74223,0.68395,0.75936,0.55382,0.98322,1.00677,1.37059,0.007789,0.007789,0.007789
69,22333.7,1.03018,1.3174,1.41848,0.74259,0.68572,0.75948,0.55463,0.98178,1.00484,1.36919,0.007756,0.007756,0.007756
70,22583.7,1.03164,1.32164,1.42047,0.74815,0.6828,0.76044,0.55559,0.98063,1.00275,1.36815,0.007723,0.007723,0.007723
71,22831.9,1.02845,1.31716,1.42078,0.75303,0.68086,0.76102,0.55615,0.97951,1.0014,1.36695,0.00769,0.00769,0.00769
72,23079.3,1.03091,1.30258,1.41502,0.7521,0.6845,0.76178,0.55708,0.97911,0.99924,1.36647,0.007657,0.007657,0.007657
73,23331.8,1.02051,1.30532,1.40889,0.75619,0.68214,0.7626,0.55824,0.97825,0.99786,1.36561,0.007624,0.007624,0.007624
74,23723,1.02279,1.29971,1.41235,0.75181,0.68659,0.76327,0.55903,0.97778,0.99627,1.36531,0.007591,0.007591,0.007591
75,24118.6,1.02185,1.29674,1.41115,0.75492,0.68478,0.7638,0.55952,0.97725,0.99451,1.36464,0.007558,0.007558,0.007558
76,24508.2,1.01536,1.28659,1.40537,0.75532,0.68466,0.76425,0.56001,0.9765,0.99267,1.36373,0.007525,0.007525,0.007525
77,24896.9,1.01877,1.28433,1.40868,0.75768,0.68631,0.7648,0.56066,0.97607,0.99083,1.36313,0.007492,0.007492,0.007492
78,25277.1,1.01879,1.283,1.40447,0.75746,0.68827,0.76523,0.56073,0.9752,0.98931,1.36233,0.007459,0.007459,0.007459
79,25669.3,1.00691,1.27681,1.39724,0.75763,0.68912,0.76555,0.56129,0.97468,0.98765,1.36163,0.007426,0.007426,0.007426
80,26052.8,1.01034,1.27568,1.4,0.75767,0.68983,0.76615,0.56218,0.9738,0.98561,1.36084,0.007393,0.007393,0.007393
81,26446.8,1.00515,1.25889,1.39814,0.75891,0.69024,0.76691,0.56283,0.97309,0.98386,1.36009,0.00736,0.00736,0.00736
82,26841.4,1.00644,1.25844,1.39438,0.7579,0.69172,0.76718,0.5633,0.97241,0.98203,1.35922,0.007327,0.007327,0.007327
83,27228.2,1.00293,1.25795,1.39314,0.75714,0.69331,0.76749,0.56391,0.97175,0.9803,1.35828,0.007294,0.007294,0.007294
84,27615.1,1.00573,1.24809,1.39765,0.75594,0.69671,0.76798,0.56468,0.97114,0.97863,1.3574,0.007261,0.007261,0.007261
85,28002.1,1.0019,1.25334,1.3933,0.75589,0.69672,0.76853,0.56492,0.97055,0.97693,1.35666,0.007228,0.007228,0.007228
